File_Name,Coef_Pearson,Iph_0,Is_0,nd_0,Rs_0,Rp_0,Iph,Is,nd,Rs,Rp
2024-03-14_16:08:09,-0.8938,1.62873,9.825000e-08,1.91823,1.61042,218.90203,1.61565,2.674352e-08,1.08363,0.27386,260.91046
2024-03-14_16:09:09,-0.9088,1.65226,9.825000e-08,1.91823,1.64883,226.45337,1.42725,3.403759e-09,0.9778,0.97165,290.17359
2024-03-14_16:10:09,-0.8925,1.6261,9.825000e-08,1.91823,1.58093,230.15713,1.60811,1.750171e-08,1.05745,0.29523,316.8944
2024-03-14_16:11:09,-0.9112,1.58897,9.825000e-08,1.91823,1.60813,225.40734,1.49558,6.164043e-09,1.00629,0.92787,197.69068
2024-03-14_16:12:10,-0.8929,1.53603,9.825000e-08,1.91823,1.67846,276.94525,1.51737,8.661040e-09,1.0216,0.32755,252.63088
2024-03-14_16:13:09,-0.8951,1.32769,9.825000e-08,1.86011,1.866,256.92345,1.32648,1.311920e-07,1.19489,0.11819,211.47426
2024-03-14_16:14:10,-0.8981,1.38997,9.825000e-08,1.91823,1.91609,328.76358,1.4239,1.273903e-07,1.1963,0.07726,130.36937
2024-03-14_16:15:09,-0.9002,1.50195,9.825000e-08,1.91823,1.66603,323.4958,1.45443,5.827837e-09,1.00158,0.65941,401.35503
2024-03-14_16:16:09,-0.9061,1.47679,9.825000e-08,1.91823,1.71599,480.11077,1.28005,2.995158e-09,0.97,1.05433,587.46538
2024-03-14_16:17:09,-0.897,1.45407,9.825000e-08,1.86011,1.76991,444.37074,1.47163,9.181094e-08,1.16315,0.17981,167.1762
2024-03-14_16:18:09,-0.8985,1.42547,9.825000e-08,1.86011,1.80323,308.85902,1.45513,9.612625e-08,1.1672,0.15615,137.25361
2024-03-14_16:19:10,-0.9032,1.42506,9.825000e-08,1.91823,1.84979,179.0046,1.46888,6.289657e-08,1.14238,0.19061,98.21035
2024-03-14_16:20:09,-0.9013,1.37881,9.825000e-08,1.91823,1.76363,338.00963,1.43329,1.609824e-09,0.94126,0.37124,93.06876
2024-03-14_16:21:10,-0.8935,1.37739,9.825000e-08,1.91823,2.03753,307.09401,1.36428,1.499860e-07,1.20646,0.15917,352.80408
2024-03-14_16:22:09,-0.9041,1.27252,9.825000e-08,1.86011,1.99282,171.4813,1.32067,5.858735e-09,1.00845,0.24504,82.35927
2024-03-14_16:23:09,-0.8966,1.26947,9.825000e-08,1.91823,2.16568,340.06399,1.29112,6.877542e-08,1.15876,0.1371,161.59463
2024-03-14_16:24:09,-0.8959,0.71771,9.825000e-08,1.80198,3.89568,193.10627,0.71212,1.941683e-07,1.23872,0.00391,258.93019
2024-03-14_16:25:09,-0.8946,1.07514,9.825000e-08,1.86011,2.29028,166.48873,1.0764,5.133108e-08,1.14412,0.08723,186.89323
2024-03-14_16:26:10,-0.8951,1.07899,9.825000e-08,1.86011,2.42738,171.406,1.09472,2.280646e-08,1.09209,0.07271,147.90611
2024-03-14_16:27:09,-0.8952,0.52154,9.825000e-08,1.80198,5.32088,227.06452,0.51705,4.164941e-08,1.12905,0.00156,241.62682
2024-03-14_16:28:10,-0.8929,0.52864,9.825000e-08,1.80198,5.89196,315.8883,0.51613,1.630526e-07,1.23233,0.00087,358.24617
2024-03-14_16:29:09,-0.8973,1.22647,9.825000e-08,1.91823,2.04528,183.51945,1.24453,5.830034e-08,1.15788,0.0584,132.63174
2024-03-14_16:30:09,-0.8957,1.11611,9.825000e-08,1.91823,2.49567,315.14312,1.1386,8.338607e-08,1.17775,0.0248,164.95458
2024-03-14_16:31:09,-0.9021,0.49274,9.825000e-08,1.80198,5.95661,232.85239,0.49632,6.085440e-08,1.15686,0.00206,193.10716
2024-03-14_16:32:09,-0.8963,1.14614,9.825000e-08,1.91823,2.23917,315.34939,1.15682,7.919193e-08,1.17896,0.04797,161.30436
2024-03-14_16:33:10,-0.8965,1.11064,9.825000e-08,1.91823,2.32397,265.64765,1.12653,1.077475e-07,1.20227,0.001,162.34194
2024-03-14_16:34:09,-0.8956,1.07879,9.825000e-08,1.91823,2.19263,345.08569,1.08788,7.603906e-08,1.17549,0.04627,175.18146
2024-03-14_16:35:10,-0.8946,1.06094,9.825000e-08,1.91823,2.45569,565.23079,1.0765,5.779320e-08,1.15466,0.06168,184.35566
2024-03-14_16:36:09,-0.9083,1.06966,9.825000e-08,1.91823,2.60444,203.79408,0.98867,7.893704e-09,1.03644,1.00551,193.38385
2024-03-14_16:37:09,-0.8938,1.04674,9.825000e-08,1.86011,2.37123,315.65287,1.048,6.747881e-08,1.16359,0.09416,225.26775
2024-03-14_16:38:09,-0.8955,1.03173,9.825000e-08,1.86011,2.46911,225.50763,1.05132,4.322702e-08,1.13472,0.06773,165.44187
2024-03-14_16:39:09,-0.8949,1.0514,9.825000e-08,1.91823,2.16665,352.92055,1.05804,1.288700e-07,1.21366,0.0031,196.02198
2024-03-14_16:40:10,-0.8955,1.02706,9.825000e-08,1.91823,2.50503,386.93797,1.04509,6.679043e-08,1.16715,0.03703,174.91232
2024-03-14_16:41:09,-0.8939,1.0082,9.825000e-08,1.86011,2.34184,297.8689,1.01727,7.893337e-08,1.17962,0.00257,197.81435
2024-03-14_16:42:10,-0.8901,1.02442,9.825000e-08,1.91823,2.63549,278.12777,1.01063,4.201196e-08,1.13544,0.11876,315.14478
2024-03-14_16:43:09,-0.9015,1.02442,9.825000e-08,1.91823,2.38908,204.09529,1.05565,1.055862e-07,1.20442,0.00556,126.2132
2024-03-14_16:44:09,-0.9072,1.023,9.825000e-08,1.91823,2.4389,148.97123,1.05612,2.444640e-07,1.27384,0.00073,108.70508
2024-03-14_16:45:09,-0.8978,0.98284,9.825000e-08,1.91823,2.68903,338.39456,1.00239,4.916415e-08,1.15331,0.00379,144.52081
2024-03-14_16:46:09,-0.9283,0.97188,9.825000e-08,1.91823,2.62231,233.25387,1.05455,7.705105e-08,1.19332,0.87592,71.12094
2024-03-14_16:47:10,-0.9247,0.95586,9.825000e-08,1.91823,2.47322,245.4386,1.02668,6.885196e-08,1.18338,0.89413,82.38161
2024-03-14_16:48:09,-0.8949,0.94166,9.825000e-08,1.86011,2.57636,176.51871,0.93493,1.609897e-07,1.24011,9e-05,239.43154
2024-03-14_16:49:10,-0.9061,0.44324,9.825000e-08,1.80198,7.10361,304.30342,0.45596,5.111252e-08,1.15738,0.00532,179.38806
2024-03-14_16:50:09,-0.8966,0.46758,9.825000e-08,1.80198,5.7383,132.5348,0.44487,1.043901e-07,1.21177,0.00193,284.53842
2024-03-14_16:51:09,-0.881,0.47225,9.825000e-08,1.80198,5.4611,455.87713,0.45184,7.851801e-08,1.1898,0.00012,1054.29857
2024-03-14_16:52:09,-0.8946,0.53453,9.825000e-08,1.86011,5.91173,175.22457,0.52695,7.940034e-08,1.19644,0.00194,287.30785
2024-03-14_16:53:09,-0.9057,0.47793,9.825000e-08,1.80198,5.683,242.90885,0.47945,9.411056e-08,1.21519,0.00057,189.14241
2024-03-14_16:54:10,-0.8891,0.78485,9.825000e-08,1.91823,3.21572,372.59987,0.78522,4.471567e-08,1.15823,0.00131,328.95246
2024-03-14_16:55:09,-0.8956,0.66009,9.825000e-08,1.86011,4.21246,287.04871,0.65897,1.482086e-07,1.24781,7e-05,279.77539
2024-03-14_16:56:10,-0.8984,0.41849,9.825000e-08,1.80198,6.33691,398.67068,0.41763,7.677688e-08,1.19616,0.00812,260.73065
2024-03-14_16:57:09,-0.8985,0.41018,9.825000e-08,1.80198,7.25575,293.39253,0.40216,1.375928e-07,1.24549,0.00075,285.53794
2024-03-14_16:58:09,-0.8955,0.39354,9.825000e-08,1.80198,7.69731,408.77405,0.38819,5.053940e-08,1.16912,1e-05,288.26472
2024-03-14_16:59:09,-0.8987,0.38867,9.825000e-08,1.80198,7.28538,200.65963,0.38215,6.671512e-08,1.19244,0.00656,265.34263
2024-03-14_17:00:09,-0.9087,0.38766,9.825000e-08,1.80198,7.60803,189.87549,0.38541,5.639441e-08,1.18591,0.00754,192.04838
2024-03-14_17:01:10,-0.8935,0.4193,9.825000e-08,1.80198,6.05067,316.91571,0.41578,5.471780e-08,1.18192,1e-05,315.57525
2024-03-14_17:02:09,-0.8947,0.57084,9.825000e-08,1.86011,4.95517,270.00427,0.56409,6.810081e-08,1.19887,0.00099,280.17253
2024-03-14_17:03:10,-0.8896,0.34932,9.825000e-08,1.80198,7.54244,317.23186,0.33734,5.766125e-08,1.18344,0.00083,401.85288
2024-03-14_17:04:09,-0.8987,0.34688,9.825000e-08,1.80198,9.64028,299.72159,0.33708,1.179675e-07,1.2454,0.00186,300.78594
2024-03-14_17:05:09,-0.8977,0.3337,9.825000e-08,1.80198,9.18622,206.12171,0.32147,3.611085e-08,1.15463,0.00476,276.60527
2024-03-14_17:06:09,-0.8967,0.31078,9.825000e-08,1.80198,9.72309,261.07803,0.30548,6.964455e-09,1.04743,0.00219,254.22218
2024-03-14_17:07:09,-0.8935,0.29495,9.825000e-08,1.80198,11.25008,262.26726,0.27966,6.739673e-08,1.20181,0.00027,352.78549
2024-03-14_17:08:10,-0.8957,0.29434,9.825000e-08,1.80198,11.79941,247.71448,0.27766,7.889562e-08,1.21559,0.00389,332.40375
2024-03-14_17:09:09,-0.8863,0.27325,9.825000e-08,1.80198,11.2914,396.42961,0.25838,6.950169e-08,1.20391,0.00062,470.26722
2024-03-14_17:10:10,-0.8896,0.28238,9.825000e-08,1.80198,9.81915,320.22763,0.26415,1.025156e-07,1.23814,0.00177,438.52147
2024-03-14_17:11:09,-0.8959,0.29576,9.825000e-08,1.80198,8.90081,269.49676,0.27723,1.561328e-07,1.27653,0.00493,359.9784
2024-03-14_17:12:09,-0.9097,0.30266,9.825000e-08,1.80198,11.208,212.01325,0.30333,1.328462e-07,1.26854,0.05055,229.56677
2024-03-14_17:13:09,-0.8948,0.30368,9.825000e-08,1.80198,8.70474,316.53075,0.29645,6.096476e-08,1.20017,0.00435,330.16787
2024-03-14_17:14:09,-0.8967,0.30266,9.825000e-08,1.80198,10.62599,321.37069,0.29866,1.824826e-07,1.2934,0.00166,357.0389
2024-03-14_17:15:10,-0.9083,0.32944,9.825000e-08,1.80198,10.34417,216.57066,0.31209,1.760686e-07,1.29519,0.00051,240.20189
2024-03-14_17:16:09,-0.8908,0.30712,9.825000e-08,1.80198,11.5567,349.35734,0.29863,5.819135e-08,1.19694,0.00112,384.65063
2024-03-14_17:17:10,-0.8929,0.32092,9.825000e-08,1.80198,10.10335,246.72848,0.30186,1.290283e-07,1.26238,0.00146,394.81194
2024-03-14_17:18:09,-0.9097,0.31138,9.825000e-08,1.80198,10.67339,209.91416,0.3117,1.082660e-07,1.25455,0.00066,223.15956
2024-03-14_17:19:09,-0.9038,0.30936,9.825000e-08,1.80198,8.55653,257.17434,0.29943,9.452302e-08,1.24054,0.00718,262.71398
2024-03-14_17:20:09,-0.9004,0.30895,9.825000e-08,1.80198,11.55687,257.87005,0.29197,3.825902e-08,1.16865,0.00207,269.15258
2024-03-14_17:21:09,-0.9031,0.30226,9.825000e-08,1.80198,10.27613,185.5052,0.28541,1.796333e-07,1.2969,0.0008,291.33304
2024-03-14_17:22:10,-0.9071,0.28156,9.825000e-08,1.80198,10.37576,224.12485,0.28465,1.498026e-07,1.28223,0.0728,258.12709
2024-03-14_17:23:09,-0.9023,0.28278,9.825000e-08,1.80198,11.42583,240.46663,0.27772,1.105493e-07,1.2541,0.04074,287.49641
2024-03-14_17:24:10,-0.892,0.27832,9.825000e-08,1.80198,10.81983,594.96661,0.2646,1.487779e-07,1.27674,0.00084,430.18114
2024-03-14_17:25:09,-0.9116,0.28907,9.825000e-08,1.80198,13.20929,178.33992,0.28169,1.469525e-07,1.28319,0.01884,232.28083
2024-03-14_17:26:09,-0.8881,0.27386,9.825000e-08,1.80198,11.35406,299.59955,0.25466,7.479157e-08,1.21702,0.00153,447.11317
2024-03-14_17:27:10,-0.889,0.25499,9.825000e-08,1.80198,10.48465,906.37245,0.24723,9.506732e-08,1.23678,0.00122,445.0975
2024-03-14_17:28:09,-0.8907,0.25864,9.825000e-08,1.74385,12.25905,272.85456,0.24052,1.136139e-07,1.25222,0.00201,430.63285
2024-03-14_17:29:10,-0.9107,0.25986,9.825000e-08,1.74385,12.50509,182.15507,0.25507,1.907536e-08,1.12265,0.01786,221.68361
2024-03-14_17:30:09,-0.8908,0.24688,9.825000e-08,1.74385,12.51233,279.21594,0.23267,3.710176e-08,1.16265,0.00486,372.36749
2024-03-14_17:31:10,-0.8968,0.24262,9.825000e-08,1.74385,12.79727,309.59868,0.23106,1.778015e-07,1.29447,0.00079,371.97679
2024-03-14_17:32:09,-0.8861,0.24302,9.825000e-08,1.74385,11.8707,292.79551,0.22721,7.629207e-08,1.21817,0.00122,482.44558
2024-03-14_17:33:09,-0.8861,0.25073,9.825000e-08,1.74385,14.16248,396.08771,0.22553,8.665244e-08,1.22785,0.00321,486.63205
2024-03-14_17:34:09,-0.8944,0.25012,9.825000e-08,1.74385,13.15424,370.01443,0.2375,1.588248e-07,1.28257,0.0043,392.13723
2024-03-14_17:35:09,-0.8853,0.25256,9.825000e-08,1.74385,13.69301,356.0185,0.2318,1.013452e-07,1.24105,0.00048,517.91067
2024-03-14_17:36:10,-0.892,0.25235,9.825000e-08,1.74385,13.17165,354.05339,0.23216,1.665838e-07,1.28663,0.0044,433.41159
2024-03-14_17:37:09,-0.8895,0.24566,9.825000e-08,1.74385,13.85706,185.16705,0.22203,9.293464e-09,1.06692,0.00965,348.59999
2024-03-14_17:38:10,-0.8924,0.23369,9.825000e-08,1.74385,11.59241,213.73289,0.20664,1.862885e-07,1.29639,0.00493,434.65508
2024-03-14_17:39:09,-0.8994,0.23207,9.825000e-08,1.74385,13.53939,347.89572,0.20666,9.570452e-08,1.23936,0.00331,335.32479
2024-03-14_17:40:09,-0.8933,0.20346,9.825000e-08,1.74385,18.50759,164.29118,0.19399,2.429873e-08,1.12989,0.00499,348.56966
2024-03-14_17:41:09,-0.8986,0.20752,9.825000e-08,1.74385,17.00633,207.00099,0.19051,1.105208e-07,1.25195,0.00104,354.67328
2024-03-14_17:42:09,-0.8994,0.21361,9.825000e-08,1.74385,12.65075,166.39508,0.19935,8.241945e-09,1.05998,0.00203,287.96687
2024-03-14_17:43:10,-0.8969,0.21198,9.825000e-08,1.74385,15.73456,292.28508,0.19916,1.187006e-07,1.25807,0.01336,367.6039
2024-03-14_17:44:09,-0.9004,0.19434,9.825000e-08,1.74385,19.70302,321.86744,0.18502,1.767899e-07,1.29446,0.01594,355.58899
2024-03-14_17:45:10,-0.8895,0.1779,9.825000e-08,1.68572,18.5019,237.68952,0.16016,3.094964e-08,1.1427,0.00555,394.35561
2024-03-14_17:46:09,-0.8888,0.16695,9.825000e-08,1.68572,17.36573,252.17509,0.15074,7.924980e-08,1.21709,0.00691,435.30089
2024-03-14_17:47:09,-0.8999,0.16594,9.825000e-08,1.68572,17.7058,247.88995,0.14916,1.334332e-08,1.08442,0.02653,323.0845
2024-03-14_17:48:09,-0.8902,0.15174,9.825000e-08,1.68572,25.69227,289.58098,0.13935,1.022337e-07,1.2378,0.01733,428.83969
2024-03-14_17:49:09,-0.8889,0.15397,9.825000e-08,1.68572,22.68297,186.39391,0.13122,1.426798e-07,1.26762,0.00224,455.85466
2024-03-14_17:50:10,-0.886,0.15113,9.825000e-08,1.68572,31.07194,172.20017,0.12616,2.052224e-08,1.1069,0.03219,419.27072
2024-03-14_17:51:09,-0.878,0.13206,9.825000e-08,1.62759,30.81052,441.29419,0.11342,1.866326e-07,1.28548,0.00181,549.96646
2024-03-14_17:52:10,-0.8753,0.12942,9.825000e-08,1.62759,36.14157,254.98315,0.10481,2.093158e-07,1.2937,0.01631,577.84787
2024-03-14_17:53:09,-0.872,0.12942,9.825000e-08,1.62759,35.5799,238.42831,0.09684,9.246308e-08,1.2116,0.00727,561.42215
2024-03-14_17:54:09,-0.8617,0.11745,9.825000e-08,1.56946,18.97228,210.51974,0.08672,2.305657e-07,1.29222,0.00374,703.93972
2024-03-14_17:55:09,-0.8888,0.11157,9.825000e-08,1.56946,36.90999,157.32586,0.08783,4.530931e-08,1.14117,0.08859,483.34225
2024-03-14_17:56:09,-0.8685,0.10366,9.825000e-08,1.51134,62.87917,292.87987,0.07232,2.903423e-07,1.2956,0.0192,723.62709
2024-03-14_17:57:10,-0.8983,0.10224,9.825000e-08,1.51134,27.46575,149.44835,0.06886,1.553263e-08,1.03101,0.00161,594.41065
2024-03-14_17:58:09,-0.9197,0.0925,9.825000e-08,1.39508,38.19183,199.32427,0.05791,3.980616e-08,1.08556,0.01936,797.00272
2024-03-14_17:59:10,-1.0,0.08277,9.825000e-08,1.27882,163.42317,184.00486,0.05989,4.285005e-07,4.61244,0.51877,407.7554
2024-03-14_18:00:09,-1.0,0.07567,9.825000e-08,1.16257,35.55477,157.75317,0.04443,1.251793e-07,4.15441,0.00985,1078.11576
2024-03-14_18:01:09,-0.9598,0.06917,9.825000e-08,1.04631,3.12895,117.33236,0.03651,3.216709e-07,1.10331,0.39618,1973.20628
2024-03-14_18:02:09,-0.9887,0.06775,9.825000e-08,0.98818,6.87961,238.56632,0.03543,8.795661e-10,0.68771,0.02521,2308.60032
2024-03-14_18:03:09,-1.0,0.07485,9.825000e-08,0.93005,4.6172,106.97769,0.03209,1.293977e-06,3.2151,0.18498,1662.49368
2024-03-14_18:04:10,-1.0,0.06917,9.825000e-08,0.8138,21.2275,91.64361,0.03323,7.809806e-08,5.0474,0.33689,1165.9641
2024-03-14_18:05:09,-1.0,0.06268,9.825000e-08,0.75567,10.09226,96.65048,0.02559,1.204377e-09,8.54372,0.07329,1614.10433
2024-03-14_18:06:10,-1.0,0.05741,9.825000e-08,0.69754,12.21271,126.54787,0.02573,1.298850e-08,2.29417,0.14726,1232.46228
2024-03-14_18:07:09,-1.0,0.05599,9.825000e-08,0.63941,17.41133,113.041,0.02596,4.769040e-07,4.51441,0.13503,1572.2906
2024-03-14_18:08:09,-1.0,0.05538,9.825000e-08,0.52315,2.91203,68.44241,0.01883,2.634205e-07,3.99763,0.08209,1196.18144
2024-03-14_18:09:09,-1.0,0.05538,9.825000e-08,0.46503,-0.09843,60.73305,0.01886,1.256704e-07,9.11899,-4.71662,1890.6018
2024-03-14_18:10:09,-1.0,0.04808,9.825000e-08,0.4069,6.44564,67.32166,0.01692,2.950058e-09,0.47152,32.7915,813.26511
2024-03-14_18:11:10,-1.0,0.05213,9.825000e-08,0.34877,1.17684,68.33396,0.01523,5.879013e-07,4.35953,0.23376,1372.94422
2024-03-14_18:12:09,-1.0,0.05599,9.825000e-08,0.34877,-2.9528,33.60512,0.00925,-1.196230e-07,8.76618,-175.41633,214.23478
